Phylum,学名,图片,标签,简介,详细介绍
priapulida,鳃曳动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705420024&di=2d5b905186c369e66a14a9d7d7024a0c&imgtype=0&src=http%3A%2F%2F1.im.guokr.com%2FyUW6V5wg7MBqFyEokAUvnr4tOgfz4HckrXNbNL7fQZeAAgAAqwEAAEpQ.jpg,自然 生物物种 动物,鳃曳动物门是动物界的一个门，是一小类海洋底栖动物，多分布在靠近两极地区的冷海中，在泥沙中或管居生活。身体虽然有体环，但是不分节。目前仅报导过10多种。,鳃曳动物门是动物界的一个门，是一小类海洋底栖动物，多分布在靠近两极地区的冷海中，在泥沙中或管居生活。身体虽然有体环，但是不分节。目前仅报导过10多种。
loricifera,铠甲动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b10000_10000&sec=1492695412&di=b91a8a0383483535abc3f103c11d53ba&src=http://img.club.pchome.net/kdsarticle/2014/01small/14/060f7c7a96f156c8c960cfd0b3380d82_1000x750.jpg,自然 生物物种 动物,铠甲动物门(Loricifera)是生活在海洋中的一个门，这个门在1983年被莱因霍尔德发现。这种动物有头，嘴和消化系统，没有循环系统和内分泌系统。是假体腔动物（有嘴和肛门的动物）雌雄同体，卵生。,"铠甲动物门(Loricifera)是生活在海洋中的一个门，这个门在1983年被莱因霍尔德发现。这种动物有头，嘴和消化系统，没有循环系统和内分泌系统。是假体腔动物（有嘴和肛门的动物）雌雄同体，卵生。没有化石。2010年发现该门有无氧呼吸的物种。发育中经过一独特的Higgins幼虫，很像成体，但它有一对趾用于运动。它们的近亲是动吻动物门和鳃曳动物门。目前没有准确分类。"
kinorhyncha,动吻动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626145369&di=5ad2c970773fc5e828eeeb75341e5aa7&imgtype=0&src=http%3A%2F%2Fwww.lnkp.gov.cn%2FUploadFile%2Fcut%2F201512%2F15120105355906.jpg,自然 生物物种 动物,动吻动物门是动物界的一个门。是一类生活在沿海底部泥沙中的、体表分节带（zonites）、无纤毛的假体腔动物。约有100种左右。例如动吻虫（Echinoderes）。,动吻动物门是动物界的一个门。是一类生活在沿海底部泥沙中的、体表分节带（zonites）、无纤毛的假体腔动物。约有100种左右。例如动吻虫（Echinoderes）。
tardigrada,缓步动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626180435&di=54fd275103af4b7336e5aff5788996df&imgtype=0&src=http%3A%2F%2Fcjrb.cjn.cn%2Fimages%2F2014-01%2F31%2F8%2Fres07_attpic_brief.jpg,自然 生物物种 动物,缓步动物门是动物界的一个门，是俗称水熊虫（Water Bear）的一类小型动物，主要生活在淡水的沉渣、潮湿土壤以及苔藓植物的水膜中，少数种类生活在海水的潮间带。,缓步动物门是动物界的一个门，是俗称水熊虫（Water Bear）的一类小型动物，主要生活在淡水的沉渣、潮湿土壤以及苔藓植物的水膜中，少数种类生活在海水的潮间带。有记录的大约有750余种，其中许多种是世界性分布的。在喜马拉雅山脉（海拔6000米以上）或深海（海拔4000米以下）都可以找到它们的踪影。从此直至今天，人们对缓步动物在动物分类中的位置、形态学、生活方式、组织学以及其隐生性的研究兴趣就有增无减。缓步动物也是第一种已知可以在太空中生存的动物。
lobopodia,叶足动物门,http://p7.qhmsg.com/t010911d36c4081c99b.jpg,自然 生物物种 动物,叶足动物（Lobopodia）是可以追溯至早期寒武纪时代的动物，对于当中绝大部分至今仍然所知不多。此门下的动物具体节，有足，同时却很难被分类到节肢动物的范畴。,基本上这种动物就像“长著足的蠕虫”，外观上亦与其近亲很接近。当中大部分被认为与节肢动物及有爪动物有亲缘关系。叶足动物可能包括了奇虾、欧巴宾海蝎及一些似有爪动物的动物，如异虫(Xenusion)、微网虫(Microdictyon)、埃谢栉蚕(Aysheaia)、爪网虫(Onychodictyon)、贫腿虫(Paucipoda)、心网虫(Cardiodictyon)、啰哩山虫(Luolishania)、怪诞虫(Hallucigenia)及缓步动物(Tardigrata)等。由于一些微网虫有骨片的鳞，故有些学者将一些寒武纪早期有骨片的动物分类在此属中。叶足动物的体型一般大于2厘米，且能自由游泳或运动。目前所知的叶足动物都是掠食者。至于有关它们的生长、习性或与其他早期生物的关系则不得而知。
dinocaridida,恐虾动物门,https://ss0.bdstatic.com/94oJfD_bAAcT8t7mm9GUKT-xh_/timg?image&quality=100&size=b4000_4000&sec=1492697777&di=67a73589b0852ef19dc7e1392545908b&src=http://img.quwenlieqi.com/allimg/141028/1F2413B6-13.jpg,自然 生物物种 动物,暂无简介,暂无简介
xenusia,异虫动物门,http://cdn2.ettoday.net/images/705/d705547.jpg,自然 生物物种 动物,于2000年提出的新分类,他们的一个细长的主体（蠕形虫状），通常是圆柱形的，一口口锥或前体和一个带爪的一端与消化道的嘴和肛门直肠，非常多元化，形态非常不同。可能形成的骨片背甲长刺状。
onychophora,有爪动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626283714&di=069ccf6364369ebcc65cd1d235d97120&imgtype=0&src=http%3A%2F%2Fguangdong.sinaimg.cn%2F2014%2F0424%2FU10729P693DT20140424105056.jpg,自然 生物物种 动物,有爪动物（学名Onychophora）是蜕皮动物（Ecdysozoa）中的一门，经常被简称为有腿的虫，种类极少，包括少数化石种类在内，共约90种。,"有爪动物门的动物极有可能和节肢动物（Arthropoda）和缓步动物门动物（Tardigrada）是近亲，它们共同构成泛节肢动物（Panarthropoda）。它们的祖先可能是在寒武纪叶足动物。在现代动物学中，它们奇特的繁殖方式引起了很多科学家的兴趣。1825年，Landsdown Guilding以科学的方式描述了该门的第一个属的动物，他当时认为这种动物是腹足纲（Gastropoda）动物，如蜗牛的变种。这种理论的根据是两者皆蠕虫样，有简单脑部、眼部结构，有体节，成对的排泄器官。但这些并不为最新的分类法所接受。后来“有爪虫纲”被独立成为“有爪动物门”。“有爪动物”（Onychophora）一词出现于1853年。全部产于热带，非洲中部、马来半岛、美洲中部均有分布，主要在南半球分布。有爪动物门的动物陆栖、夜行、肉食性，靠捕食小动物例如昆虫生活。它们身体内有腺体，会喷出一些粘稠的液体去粘住猎物然后进食。体呈蠕虫形，不分节。雌雄异体，多为胎生，直接发育。形态介于环节动物和节肢动物之间，兼具这两门动物的特征。"
schizoramia,裂肢动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1493265531&di=35a59f832282d01922f852713ffad79c&imgtype=jpg&er=1&src=http%3A%2F%2Fs15.sinaimg.cn%2Fmw690%2F8d8bcdfbtx6COMkAJlk7e%26amp%3B690,自然 生物物种 动物,暂无简介,暂无简介
arthropoda,节肢动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626304137&di=2eace2840fc8753f368a71a811436560&imgtype=0&src=http%3A%2F%2Fb2museum.cdstm.cn%2Ffossils%2Fwww%2Fimages%2Fj3.jpg,自然 生物物种 动物,节肢动物是动物的一类，由昆虫纲、甲壳纲、蛛形纲等外骨骼动物组成被称为节肢动物门（学名：Arthropoda）的分类单位。,"在动物界中所属物种最多的一门，已被人类命名的昆虫类就有超过75万种[1] [2] [3]。除昆虫外，常见的虾、蟹、蜘蛛、蜈蚣及已灭绝的三叶虫都属于节肢动物。节肢动物的特点为其分节的肢体，以及主要成分为α-甲壳素的角质层。甲壳生物的角质层中也包括了碳酸钙，是生物矿化的产物。节肢动物基本上都是有性繁殖、卵生的。也有孤雌生殖的现象。其身体表面有几丁质组成的外骨骼；随着身体的长大，需要经历蜕皮[注 1]的阶段，将旧的外骨骼脱掉。身体两侧对称，身体分节，像环节类动物，但部分体节融合成特别部位，如头部及胸部。有些节肢动物，例如蜘蛛类，头部及胸部进一步融合成头胸部。每个特化部位的机能亦作相应的变化。身体，取体节的反复构造，被外骨骼包围而形成身体表面的体节单位。体节之间关节可动。根据种类的不同，也有如果体节里面特定的东西组合能相合一下继续的外骨骼被覆盖等，外表上某在构成机能上的单位。譬如，有分成头部，胸部，腹部3部分，或头胸部，腹部的2部分的身体称呼，这个作为每节肢动物的各分类群的特征采用。身体的附肢，例如足部、触角、口器等都分节。 附肢的功能亦高度特化，负责感觉、行走、游泳、进食、以至生殖等。从各体节，有脚出。脚同样用外骨骼覆盖，脚上也有关节。一部分的分类群，成为由蛋孵化的幼体性成熟的成体的过程，有进行显著地形态变化的变态。甲壳类和昆虫类等。"
pentostomida,舌形动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705599501&di=e1c6e27575e906a05d2280119817485f&imgtype=0&src=http%3A%2F%2Fa1.att.hudong.com%2F85%2F31%2F01200000032186136323314584132_s.jpg,自然 生物物种 动物,舌形动物类（学名：Pentastomida），又称五口动物类，是动物界的一个分类。这一种谜样的动物属于无脊椎动物，介乎于环节动物和节肢动物之间，均为寄生性动物。,"其特征是体软、扁而长，无色，透明，无足。身长从数毫米到十数厘米，体表分近百个清晰的节段，内部却并不分节。虫体前端口部突出，呈椭圆形，周围有两对可伸缩的钩，用以附着在寄主组织上。该门动物没有呼吸系统、排泄系统和循环系统，雌雄异体。本物种的名称是因为从其部分物种的外型酷似脊椎动物的舌头，因而为名；而其学名及另一名称“五口动物”的来源，则是因为其口器的五个钩，好像有五个口一样，因而为名。这五个“钩”，其实只有一个为口器，其余四个只是颚足。过往由于对本分类物种的分类不明，单单从外形来判断，所以将其归类到门一层。后来到了2001年，研究证据显示五口动物实为退化了的寄生性节肢动物，本物种生物跟其他物种的关系得到确认，所以被降至归入成为颚足纲的一员，是为舌形动物亚纲。现时本分类有物种约130个，皆为被动式寄生物，其部分解剖结果为退化性。成年的舌虫长约1至14厘米（0.4至5.5英寸） ，多数于宿主的呼吸系统黏付着。"
platyhelminthes,扁形动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626369492&di=cd74fb59f5dc127b4f676cfb37bb36d9&imgtype=0&src=http%3A%2F%2Fimg0.ph.126.net%2FXcYgl5Dfu8GiOHygefiFYA%3D%3D%2F656118170729853627.jpg,自然 生物物种 动物,扁形动物门是动物界的一个门，无脊椎动物，是一类两侧对称，三胚层，无体腔，无呼吸系统、无循环系统，有口无肛门的动物。已记录的扁形动物约有15000种。,"生活于淡水、海水等潮湿处，体前端有两个可感光的色素点。体表部分或全部分布有纤毛。体形小至1毫米，大可至25公分。可在水中，地面生活，或行寄生生活初生表皮层全部为外胚层细胞，后来又中胚层细胞移入。躯干表面有纤毛表皮，可用于运动。皮层底下有长轴，环形和对角走向的肌肉，腹背部薄壁组织中的肌肉可拮抗静水压的作用，成为静水骨骼大部分为雌雄同体，体内受精。行断裂生殖。不完整的消化道"
mesozoa,中生动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626390133&di=4b7c06afee460984292583a1280e5c11&imgtype=0&src=http%3A%2F%2Fa.hiphotos.baidu.com%2Fbaike%2Fc0%253Dbaike60%252C5%252C5%252C60%252C20%2Fsign%3D06efd34cb9014a9095334eefc81e5277%2F5882b2b7d0a20cf42955922176094b36adaf9902.jpg,自然 生物物种 动物,中生动物是一种多肉海洋无脊椎寄生动物，现今依然不清楚它们是退化了的扁形动物，还是独立发展出的。一般而言，这些细小、难以理解的生物是由包附在一个或多个生殖细胞上的纤毛种皮细胞所组成的。,"中生动物有着复杂的生命周期，会在无性和有性的阶段间交替。在头足类动物的肾内有许多类似虫一般，由固定数量的体细胞组成的生物（线形体）。在线形体的核心内有轴细胞，这些细胞会产生新的线形体。之后，线形体再转变成菱形体，以准备性发展。性发展起始于菱形体的轴细胞中一个称做 infusorigen 的区域内，在此处发展出阿米巴状的精子来。套细胞会转变成卵。精子由轴细胞中出去，并和卵结合而形成滴幼虫，然后幼虫会爬出来。最后，章鱼再次被年轻虫状的动物感染。中生动物一度被认为是原生生物和动物之间演化的一个过渡型态，但现在，它们则被认为是退化了或简化了的动物。它们的纤毛幼虫和吸虫的纤毛幼虫相似，且它们的内部增殖也和在吸虫体内发生的现象相似。中生动物 的　DNA 有较低的GC含量（40%）。此一数值和纤毛虫相似，但纤毛虫通常有双细胞核。其他和中生动物相关的还包括环节动物、纽形动物和真涡虫等类群。中生动物有两个主要的类群：菱形动物门和直泳动物门，有时也包括扁盘动物门和单胚动物门。单胚动物门只包含一个只在十九世纪时有过一次描述的物种，且自此便不曾再见过。因此，许多人怀疑它们是一个真实的类群。[2] 根据描述，这种动物只有单一层的组织。 "
orthonectida,直泳动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626463610&di=af352abe254d1c2fb8f6eb6ccf71c957&imgtype=0&src=http%3A%2F%2Fphoto.hanyu.iciba.com%2Fupload%2Fchinesewiki%2F4%2FZ%2F4ZUa.jpg,自然 生物物种 动物,直泳动物门是由所知甚少的海底无脊椎动物寄生虫所组成的一个小门，是最简单的多细胞生物之一。,直泳动物门是由所知甚少的海底无脊椎动物寄生虫所组成的一个小门，是最简单的多细胞生物之一。寄生的生物有扁形动物、多毛纲的虫、双壳纲的软体动物和棘皮动物等。已知的物种大约有20种，其中以 Rhopalura ophiocomae 最为知名。
rhombozoa,菱形动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492704446747&di=56e821a355e6a546a8cac9c6d4149253&imgtype=0&src=http%3A%2F%2Fimgsrc.baidu.com%2Fforum%2Fw%253D580%2Fsign%3Da560dc1a0d2442a7ae0efdade142ad95%2F66a7912bd40735faddfca8209c510fb30e24085e.jpg,自然 生物物种 动物,菱形动物门（学名Rhombozoa），或二胚虫目（Dicyemida）是栖息在头足类肾附属物的一门寄生虫。二胚动物门其实是在菱形动物门之前命名的，但现今一般都会以菱形动物门来称呼这类动物。,"菱形虫门长约0.1—9.0毫米，在显微镜下可以清晰看见。它们的细胞数目恒定，约有由20-30个细胞组成，故很轻易分辨。外层是单层的具有纤毛的体细胞，包围着中央的轴细胞。前端有一个极帽，可以将它们连接在寄主的肾附属物表层上。菱形动物门同时有无性繁殖及有性繁殖的形态。[4]前者多在幼生及未成熟的寄主上出现，后者则会出现在成熟的寄主。无性繁殖的阶段称为线形体，它们会生产蠕虫状的幼虫，幼虫为熟会产生更多的线形体。[5]线形体可以在幼生头足类激增充满其肾。随着时间过去，当线形体的数量到达某程度时，蠕虫状幼虫会成熟及变成菱形体，进入有性繁殖阶段。菱形体包含了雌雄同体的滴虫形幼虫原体，可以生成滴虫形幼虫。[5]这些幼虫的形态很特别，以像车前灯的纤毛节来游泳。科学家一直假设这种滴虫形幼虫会随寄主排尿时一同被排出，且是一种扩散及感染的阶段。不过感染的方式及影响却依然是一个谜。菱形动物门在一些时期是会留在温带的底栖环境，其数量最为丰富。虽然有时在热带也会发现菱形虫门，但一般感染率都很低。菱形动物门从未在真正的海洋性头足类身上发现，因为它们是被纤毛亚门所寄生。大部分菱形动物门的物种都只在一或两个寄主物种中发现。它们虽然并非独特寄生的，却似乎却只寄生在某些相关的寄主身上。"
gastrotricha,腹毛动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626530844&di=e5992941255bfe5a6cc57f895ff3463b&imgtype=0&src=http%3A%2F%2Fg.hiphotos.baidu.com%2Fbaike%2Fs%253D220%2Fsign%3D928a03057bcb0a4681228c3b5b62f63e%2Fb3b7d0a20cf431ad5596a2c64b36acaf2fdd988d.jpg,自然 生物物种 动物,腹毛动物门是动物界的一个门。是生活在海洋或淡水中的、身体腹面披有纤毛一类小型动物。大约有400种，一般认为是假体腔动物中最原始的一类。,"腹毛动物门是动物界的一个门。是生活在海洋或淡水中的、身体腹面披有纤毛一类小型动物。大约有400种，一般认为是假体腔动物中最原始的一类。腹毛动物超门分为2个亚门：大鼬目（Macrodasyida）：例如侧鼬虫（Pleurodasys）、大鼬虫（Macrodasys）、指足鼬虫（Dactylopodala）等。鼬虫目（Chaetonotida）：例如鼬虫、鳞皮鼬虫（Lepidodermella）等。"
