Phylum,学名,图片,标签,简介,详细介绍
deinococcus-thermus,异常球菌-栖热菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607150601&di=20fcdaf3a8ffbca2fbf0899ad6bbde3c&imgtype=0&src=http%3A%2F%2Fa3.att.hudong.com%2F75%2F78%2F01300542749023141387784901104_s.jpg,自然 细菌 生物物种 微生物,本分类名称尚未确定，目前根据伯杰氏手册暂称为异常球菌-栖热菌门。,本门包括一些能抵抗严酷环境的球状细菌，分为两个目。异常球菌目只有一个属，异常球菌属(Deinococcus)，包括几个耐辐射的种，并且由于能够吃掉核污染和一些有毒物质而出名。栖热菌目包括几个耐热的属。其中水生栖热菌(Thermus aquaticus)的耐高温DNA聚合酶（Taq酶）被广泛应用于聚合酶链式反应(PCR)。这些细菌具有厚的细胞壁，因此染色为革兰氏阳性。但它们具有第二层细胞膜，结构上和革兰氏阴性细菌更接近。
dictyoglomi,网团菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607175382&di=9e33c9d7b33fd74e89eae50567d3f9c0&imgtype=0&src=http%3A%2F%2Fc.hiphotos.baidu.com%2Fbaike%2Fw%253D268%2Fsign%3D3e3268b55ddf8db1bc2e7b623123dddb%2Fc83d70cf3bc79f3d9a8e8d1db9a1cd11728b29ab.jpg,自然 细菌 生物物种 微生物,这种生物可以制造木聚糖酶，将木聚糖(xylan)分解成木糖(xylose)。,网团菌门(Dictyoglomi)是一类细菌，只包含一个属，即网团菌属(Dictyoglomus)。它是极端嗜热菌，营化能有机营养，即利用有机物获得能量。
fibrobacteres,纤维杆菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1493201922&di=b3e5a0f9b9feda99712edd946c42a123&imgtype=jpg&er=1&src=http%3A%2F%2Fwww.023kelier.com%2Fbook_cover%2F202553.jpg,细菌 生物物种 微生物,一直以来，Fibrobacter都译为丝状杆菌，根据《细菌名称双解及分类辞典》，Fibrobacter亦应翻译为丝状杆菌（详见该辞典P311），Fibrobacter succinogenes为产琥珀酸丝状杆菌，Fibrobacter intestinalis为肠道丝状杆菌。,纤维杆菌门(Fibrobacteres)是一类革兰氏阴性细菌，只包括纤维杆菌属(Fibrobacter)一个属。纤维杆菌属生活在反刍动物的瘤胃中，在其细胞周质中有纤维素酶可以分解纤维素使动物能够吸收
firmicutes,厚壁菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607214269&di=2ded4539eb600f3b9ad12249403bb1f4&imgtype=0&src=http%3A%2F%2Fa0.att.hudong.com%2F08%2F22%2F01300000009075133977220519184_02_250_250.jpg,自然 细菌 生物物种 微生物,厚壁菌门(Phylum Firmicutes)细胞壁含肽聚糖量高，约50%—80%，细胞壁厚10—50nm，革兰氏染色反应阳性，菌体有球状、杆状或不规则杆状、丝状或分枝丝状等，二分裂方式繁殖，少数可产生内生孢子（称为芽孢）或外生孢子（称分生孢子），那是化能营养型，没有光能营养的。,厚壁菌门（Firmicutes）是一大类细菌，多数为革兰氏阳性。少数，如柔膜菌纲（Mollicutes）（如支原体），缺乏细胞壁而不能被革兰氏方法染色，但也和其余的革兰氏阳性菌一样缺乏第二层细胞膜。厚壁菌门这个词原本包括所有革兰氏阳性菌，但目前仅包括低G+C含量的革兰氏阳性菌，而高G+C含量的则被划入放线菌门（Actinobacteria）。厚壁菌门表现为球状或者杆状。很多厚壁菌可以产生芽孢，它可以抵抗脱水和极端环境。很多环境中都可找到芽孢，很多著名的病原菌都能产生芽孢。有一类厚壁菌，太阳杆菌科可以通过光合作用产生能量。厚壁菌门被分为三个纲：厌氧的梭菌纲、兼性或者专性好氧的芽孢杆菌纲，和没有细胞壁的柔膜菌纲。在系统发育树上前两类显示出并系或者复系，因此它们的分类有待进一步研究。肥胖与肠道细菌分布有关，肠内厚壁菌门多于拟杆菌门导致更有效吸收食物中的热量从而导致肥胖。美国华盛顿大学医学院的杰弗瑞-戈登等人发现，肥胖者肠道内游弋着一种与苗条者体内迥然不同的细菌。前者体内的微生物群实际上是在帮助肥胖者发胖。研究人员认为，这种“肥胖细菌”从食物吸收了过多的卡路里(能量)，后者被身体吸收并沉积起来成为多余的脂肪，肥胖便形成了。每个人的肠道中都寄居着数以亿计的不同的细菌和其他小小的寄生虫。这些微生物是人体所必须的，因为它们除了帮助分解食物外，还能防御外来病原体的入侵。戈登等人收集并提取了12名肥胖志愿者粪便中的细菌，并用基因遗传序列鉴定不同的细菌种类，最后与5名瘦的志愿者粪便中的细菌进行比较。这两组志愿者的细菌大多数都可归为两类细菌，一大类是厚壁菌门，包括李斯特菌、葡萄球菌、链球菌等。另一大类是拟杆菌门。对比发现，肥胖者比瘦者多出约20%的厚壁菌，同时又比瘦者少了约90%的拟杆菌。也就是说肥胖者的厚壁菌多而拟杆菌极少。然后，在一年的时间内对肥胖志愿者给予低脂肪低碳水化合物的食物，结果他们体重最多减少了约25%。在这段时间，肥胖者体内的厚壁菌比例有了下降，而拟杆菌的比例则上升了。当然，这两类细菌的比例水平尚未达到瘦者体内两种细菌的比例。这个结果说明，人体体重的调节与肠道内的细菌有关，而肥胖可能搅乱了正常的细菌平衡。在小鼠身上做的实验进一步证明，如果改变细菌类型就能够影响体重，比如减少厚壁菌的数量，增加拟杆菌的数量，可能会让人减肥。当然，也有专业人员认为，细菌类别与肥胖有关闻所未闻，因为有大量内容并没有证实。而且也不清楚畅道细菌是否真的催人肥胖，而其他因素是否就不重要。同时，如果真是“肥胖细菌”造成的肥胖，那么瘦人与肥胖者一起吃饭是否会被传染“肥胖细菌”而发胖?这也是一个有待解决的问题。但戈登坚持认为，能够比较清楚地证实肠道菌昕产生的化台物影响脂肪的沉积，而且还可能利用肠道菌作为冶疗肥胖的一种新方法。但是这种方法目前还不明了。因为不清楚是否可以把厚壁菌去除或减少，并增加拟杆菌就可以减肥。而且，这种增减肠道内细菌的怍法是否会引起肠道中菌群平衡的失调也是-一个未知数。
fusobacteria,梭杆菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607253697&di=67caa315d0d8cc21d171039f55a16747&imgtype=0&src=http%3A%2F%2Fimg3.ph.126.net%2F7fa09Y1ywS_78HrwwgaVMg%3D%3D%2F6597258882656979903.jpg,自然 细菌 生物物种 微生物,梭杆菌门(Fusobacteria)是一个小类群的革兰氏阴性细菌。其中梭杆菌属(Fusobacterium)常见于消化道，是口腔菌群之一，也可导致一些疾病。,梭杆菌门(Fusobacteria)是一个小类群的革兰氏阴性细菌。其中梭杆菌属(Fusobacterium)常见于消化道，是口腔菌群之一，也可导致一些疾病。
gemmatimonadetes,芽单胞菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607264950&di=706d803b9da4b2d97d1c071d14c95425&imgtype=0&src=http%3A%2F%2Fb.hiphotos.baidu.com%2Fbaike%2Fs%253D220%2Fsign%3Dac33c749b2b7d0a27fc9039ffbee760d%2F35a85edf8db1cb13485397e8dd54564e92584b16.jpg,自然 细菌 生物物种 微生物 ,芽单胞菌门(Gemmatimonadetes)已知仅有一属得到正式命名，即芽单胞菌属(Gemmatimonas)，是一类革兰氏阴性细菌，通过出芽方式繁殖。,芽单胞菌门(Gemmatimonadetes)已知仅有一属得到正式命名，即芽单胞菌属(Gemmatimonas)，是一类革兰氏阴性细菌，通过出芽方式繁殖。
nitrospirae,硝化螺旋菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607311716&di=e3a3f4cd63a80d668c88a8d001e051e6&imgtype=0&src=http%3A%2F%2Fphoto.renwen.com%2F0%2F127%2F12739_1352913445699971.jpg,自然 细菌 生物物种 微生物 化学,硝化螺旋菌门（Nitrospira）是一类革兰氏阴性细菌。其中的硝化螺旋菌属（Nitrospira）作为硝化细菌（Nitrifier），可将亚硝酸盐氧化成硝酸盐。,硝化菌对水生植物非常重要，在水体中，如果缺少硝化菌，氨氮/硝酸盐/亚硝酸盐循环体系被中断，将导致水生环境破坏和鱼类的死亡。而硝化螺旋菌门(Nitrospira)是存在于污水处理厂和实验室反应器中主要的亚硝酸氧化菌，而不是Nitrobactor。
planctomycetes,浮霉菌门,http://p7.qhmsg.com/t01784d6d1089a5ce23.jpg,自然 细菌 生物物种 微生物 ,浮霉菌门(Planctomycetes)是一小门水生细菌，在海水、半咸水、淡水中都可被发现。,"浮霉菌属(Planctomyces)和小梨形菌属(Pirellula)等都是专性好氧菌。它们通过出芽法繁殖。形态上，它们通常是卵形，不用来繁殖的一端有柄，可以用来附着。它们的生活史分为固着细胞和有鞭毛的游动细胞，类似α-变形菌纲的柄杆菌属。浮霉菌门的细胞壁中含有糖蛋白而不含胞壁质，因此它们可以通过青霉素等破坏细胞壁的抗生素来选择性富集。最为奇特的一点是，浮霉菌门细胞具有复杂的胞内膜结构，甚至有些属（如出芽菌属(Gemmata)）的染色质被膜包围且紧缩，类似真核生物的细胞核，这在原核生物中是仅有的。此外，在浮霉菌门中还有一类和浮霉菌属等关系较远的细菌，如(Candidatus Brocadia)、(Candidatus Kuenenia)和(Candidatus Scalindua)属，它们至今未能成功分离得到纯菌株，因此尚未获得正式命名和分类。它们能够在缺氧环境下利用亚硝酸盐(NO2-)氧化铵离子(NH4+)生成氮气来获得能量，因此称作厌氧氨氧化菌(anaerobic ammonium oxidation, Anammox)，对全球氮循环具有重要意义，也是污水处理中重要的细菌。"
proteobacteria,变形菌门,http://p6.qhmsg.com/t01da183768df852fd3.jpg,自然 细菌 生物物种 微生物 ,变形菌门（Proteobacteria）是细菌中最大的一门，包括很多病原菌，如大肠杆菌、沙门氏菌、霍乱弧菌、幽门螺杆菌等著名的种类。也有自由生活的种类，包括很多可以进行固氮的细菌。变形菌门主要是由核糖体RNA序列定义的，名称取自希腊神话中能够变形的神普罗透斯（这同时也是变形菌门中变形杆菌属的名字），因为该门细菌的形状具有极为多样的形状。,所有的变形菌门细菌为革兰氏阴性菌，其外膜主要由脂多糖组成。很多种类利用鞭毛运动，但有一些非运动性的种类，或者依靠滑行来运动。此外还有一类独特的黏细菌，可以聚集形成多细胞的子实体。变形菌门包含多种代谢种类。大多数细菌营兼性或者专性厌氧及异养生活，但有很多例外。很多并非紧密相关的属可以利用光合作用储存能量，因其多数具有紫红色的色素，被称为紫细菌。变形菌门根据rRNA序列被分为五类（通常作为五个纲），用希腊字母α、β、γ、δ和ε命名。其中有的类别可能是并系的。α-变形菌除包括光合的种类外，还有代谢C1化合物的种类、和植物共生的细菌（如根瘤菌属）、与动物共生的细菌和一类危险的致病菌立克次体目。此外真核生物的线粒体的前身也很可能属于这一类（参见内共生学说）。β-变形菌包括很多好氧或兼性细菌，通常其降解能力可变，但也有一些无机化能种类（如可以氧化氨的亚硝化单胞菌属(Nitrosomonas)）和光合种类（红环菌属(Rhodocyclus)和红长命菌属(Rubrivivax)）。很多种类可以在环境样品中发现，如废水或土壤中。该纲的致病菌有奈氏球菌目(Neisseriales)的中一些细菌（可导致淋病和脑膜炎）和伯克氏菌属(Burkholderia)。在海洋中很少能发现β-变形菌。γ-变形菌包括一些医学上和科学研究中很重要的类群，如肠杆菌科(Enterobacteraceae)、弧菌科(Vibrionaceae)和假单胞菌科(Pseudomonadaceae)。很多重要的病原菌属于这个纲，如沙门氏菌属(Salmonella)（肠炎和伤寒）、耶尔辛氏菌属(Yersinia)（鼠疫）、弧菌属(Vibrio)（霍乱）、铜绿假单胞菌(Pseudomonas aeruginosa)（就医时引发的肺部感染或者囊性纤维化）。重要的模式生物大肠杆菌也属于此纲。δ-变形菌包括基本好氧的形成子实体的黏细菌和严格厌氧的一些种类，如硫酸盐还原菌（脱硫弧菌属(Desulfovibrio)、脱硫菌属(Desulfobacter)、脱硫球菌属(Desulfococcus)、脱硫线菌属(Desulfonema)等）和硫还原菌（如除硫单胞菌属(Desulfuromonas)），以及具有其它生理特征的厌氧细菌，如还原三价鐡的地杆菌属(Geobacter)和共生的暗杆菌属(Pelobacter)和互营菌属(Syntrophus)。ε-变形菌只有少数几个属，多数是弯曲或螺旋形的细菌，如沃林氏菌属(Wolinella)、螺杆菌属(Helicobacter)和弯曲菌属(Campylobacter)。它们都生活在动物或人的消化道中，为共生菌（沃林氏菌在牛中）或致病菌（螺杆菌在胃中或弯曲菌在十二指肠中）。
spirochaetes,螺旋体门,http://p6.qhmsg.com/t019c4018a51c61e0da.jpg,自然 细菌 生物物种 微生物 ,螺旋体门是一类很有特点的细菌，具有长的螺旋形盘绕的细胞。,螺旋体门（Spirochaetes）是一类很有特点的细菌，具有长的螺旋形盘绕的细胞。它们独具细胞全长、在细胞膜和细胞壁之间的鞭毛，称为“轴丝”（axial filament）。螺旋体可以通过轴丝产生的扭转运动前后移动。多数螺旋体营厌氧自由生活，但有很多例外。Lynn Margulis曾经认为真核细胞的鞭毛来自共生的螺旋体，但同意这一观点的生物学家不多，因为二者结构上没有太多相似之处。
thermodesulfobacteria,热脱硫杆菌门,http://p0.qhmsg.com/dr/270_500_/t0120de3fb81140ae96.jpg,自然 细菌 生物物种 微生物 ,热脱硫杆菌门是一个小类群的嗜热硫酸盐还原细菌。,热脱硫杆菌门是一个小类群的嗜热硫酸盐还原细菌。
